ticker,general_sentiment,ai_sentiment,combined_sentiment,sector
AAPL,-0.8127955850958825,-0.8222678043224193,-0.8175316947091509,Technology
ADBE,-0.8825517187655811,-0.8920909644414982,-0.8873213416035397,Technology
ALLY,-0.7326611090790142,-0.631604346136252,-0.6821327276076331,Financial
AMAT,-0.7617829868505741,-0.9380384202186878,-0.8499107035346309,Technology
AMD,-0.8119160358607769,-0.861804860982166,-0.8368604484214714,Technology
AMZN,-0.7307778590917587,-0.8178369478976473,-0.7743074034947031,Technology
AVGO,-0.7589597320731949,-0.7560050622109444,-0.7574823971420697,Technology
AXP,-0.7969847406659808,-0.6712600022186468,-0.7341223714423137,Financial
BAC,-0.6593872782162258,-0.6144078914652166,-0.6368975848407212,Financial
BAMXF,-0.9892457528869705,-0.9336231922109922,-0.9614344725489814,EV
BK,-0.8413457307289904,-0.6590828503881182,-0.7502142905585543,Financial
BYDDY,-0.8386497387179622,-0.9279675799257615,-0.8833086593218619,EV
C,-0.6913942483817639,-0.7185732587691276,-0.7049837535754457,Financial
CFG,-0.6939492085884358,-0.8822555952384824,-0.788102401913459,Financial
COF,-0.9240664723036173,-0.9379426306340752,-0.9310045514688463,Financial
CRM,-0.7102454815279035,-0.7466375870364053,-0.7284415342821544,Technology
CSCO,-0.8169481566319099,-0.8678078664974733,-0.8423780115646916,Technology
DDOG,-0.754270932289085,-0.8362721158907964,-0.7952715240899407,Technology
DOCU,-0.7393014233882033,-0.8219501423835754,-0.7806257828858894,Technology
F,-0.9404250679636849,-0.8773179054260254,-0.9088714866948551,EV
FHN,-0.703231004095569,-0.7204679407057215,-0.7118494724006452,Financial
FITB,-0.7793701855341594,-0.6778014302253723,-0.7285858078797658,Financial
GELYF,-0.8993544746667911,-0.994008019566536,-0.9466812471166635,EV
GM,-0.8446419254426033,-0.8568168239934104,-0.8507293747180069,EV
GNZUF,-0.9454384697111029,-0.722993274529775,-0.8342158721204389,EV
GOOG,-0.9069662155928435,-0.9199390264589395,-0.9134526210258915,Technology
GOOGL,-0.8779131662414734,-0.9254045172255169,-0.9016588417334952,Technology
GS,-0.7750401005342409,-0.8807956976049086,-0.8279178990695748,Financial
GWLLY,-0.9706517087446677,-0.9997096210718155,-0.9851806649082415,EV
HBAN,-0.523183308149639,-0.13318349633898055,-0.32818340224430975,Financial
HRB,-0.8948731786244876,-0.8123467564582825,-0.8536099675413851,Technology
HSBC,-0.8475353584477776,-0.842000718179502,-0.8447680383136398,Financial
HYLN,-0.999629408121109,0.0,-0.4998147040605545,EV
HYMTF,-0.9419499139825837,-0.8670672650994926,-0.9045085895410381,EV
IBM,-0.779906705348161,-0.8441583101163831,-0.8120325077322721,Technology
INTC,-0.7520512481033802,-0.7962777458909732,-0.7741644969971767,Technology
JPM,-0.8679625735964094,-0.6889728102833033,-0.7784676919398563,Financial
KEY,-0.6346408941206478,-0.696174293756485,-0.6654075939385664,Financial
KIMTF,-0.9604835593700409,-0.9682295550318325,-0.9643565572009367,EV
LCID,-0.6524497486022581,-0.8598214149475097,-0.7561355817748839,EV
LI,-0.8753325149237391,-0.8677304280947332,-0.8715314715092362,EV
LYFT,-0.827612359633391,-0.8507828365510969,-0.8391975980922439,Technology
MAHMF,-0.9245574754476548,-0.9953528778893607,-0.9599551766685077,EV
MBGYY,-0.8568847555558659,-0.9232362973690033,-0.8900605264624346,EV
META,-0.8544041621685028,-0.8493011402719803,-0.8518526512202416,Technology
MMTOF,-0.9285189360380173,-0.8540621320406596,-0.8912905340393384,EV
MS,-0.7767349957645714,-0.6431164849888195,-0.7099257403766954,Financial
MSFT,-0.8501752832531929,-0.8400479958469707,-0.8451116395500817,Technology
MTB,-0.7511854580003922,-0.703646522301894,-0.727415990151143,Financial
MU,-0.7424956987644064,-0.8881900577973096,-0.815342878280858,Technology
NBHC,-0.9400134553511937,-0.851317701516328,-0.8956655784337608,Financial
NET,-0.613254239445641,-0.7378451741194423,-0.6755497067825416,Technology
NIO,-0.7096145921631863,-0.8942579254508018,-0.801936258806994,EV
NKLA,-0.9854356807470321,-0.9999061465263367,-0.9926709136366845,EV
NOW,-0.7505274718999863,-0.7912370800971985,-0.7708822759985924,Technology
NSANY,-0.9614969588461376,-0.931656748749489,-0.9465768537978133,EV
NTRS,-0.9474527088422624,-0.9048512065133383,-0.9261519576778003,Financial
NVDA,-0.7874428123235703,-0.7879459980130196,-0.7876944051682949,Technology
ORCL,-0.8549932450056076,-0.8658475089073181,-0.8604203769564629,Technology
PNC,-0.6203823327263699,-0.5299202669411898,-0.5751512998337798,Financial
POAHY,-0.9900028015127277,-0.9846327361606416,-0.9873177688366847,EV
PSNY,-0.9982464959224066,-0.9982930918534597,-0.9982697938879331,EV
QCOM,-0.8056331592221414,-0.8716222074898806,-0.838627683356011,Technology
RF,-0.6831798750688048,-0.7087449023017177,-0.6959623886852613,Financial
RIVN,-0.7992843256546901,-0.8874100061023936,-0.8433471658785419,EV
RNLSY,-0.9856651673222533,-0.9769615280000787,-0.981313347661166,EV
RY,-0.7718734353780746,-0.7493386915389527,-0.7606060634585137,Financial
SAIC,-0.9513255446515185,-0.9929573893547058,-0.9721414670031121,EV
SAN,-0.9318753626881814,-0.8871648003315104,-0.9095200815098459,Financial
SCHW,-0.6759412152426584,-0.7136770884195963,-0.6948091518311273,Financial
SHOP,-0.7566605493426323,-0.7419809189281965,-0.7493207341354144,Technology
SNAP,-0.8299548242475603,-0.7263939391999018,-0.778174381723731,Technology
SNOW,-0.8786840188330498,-0.8285592312682165,-0.8536216250506332,Technology
STLA,-0.9293754340997383,-0.9600934342640203,-0.9447344341818793,EV
STT,-0.743991163131353,-0.6356163401352731,-0.6898037516333131,Financial
SYF,-0.8242068342995226,-0.8876454565260146,-0.8559261454127686,Financial
TATAMOTORS.NS,-0.963152654615103,-0.9377212631897848,-0.950436958902444,EV
TD,-0.6638379262553321,-0.6772206153558649,-0.6705292708055985,Financial
TFC,-0.6683065412091274,-0.5204321835190058,-0.5943693623640666,Financial
TSLA,-0.8442927441000938,-0.8274247193975108,-0.8358587317488023,EV
TSM,-0.7153727620219191,-0.5968007693325517,-0.6560867656772353,Technology
TXN,-0.714148681104919,-0.8489243136718869,-0.7815364973884029,Technology
UBER,-0.9343914838580342,-0.8972210247864884,-0.9158062543222613,Technology
USB,-0.5841619395002534,-0.684667823776122,-0.6344148816381877,Financial
VWAGY,-0.9480321880812957,-0.9732104814052582,-0.960621334743277,EV
WFC,-0.778302740281628,-0.8758193029873613,-0.8270610216344947,Financial
XPEV,-0.9116893582424875,-0.9523631569110986,-0.932026257576793,EV
ZION,-0.7390553736409475,-0.3508941372235616,-0.5449747554322546,Financial
